"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00982",0,0.478102251388653,0.133,0.062,0
"PRDM16",0,0.3482581994261,0.183,0.129,0
"DNAJC11",0,0.260820238509841,0.181,0.133,0
"ERRFI1",0,0.297706086412934,0.31,0.24,0
"DHRS3",0,0.267880463669572,0.22,0.149,0
"AGMAT",0,0.431161856230773,0.121,0.043,0
"CLCNKA",0,0.7139859841201,0.174,0.079,0
"CLCNKB",0,0.540429069081045,0.192,0.106,0
"ALDH4A1",0,0.392114870936163,0.107,0.04,0
"AKR7A2",0,0.253360658323058,0.111,0.055,0
"CAMK2N1",0,0.342865800509377,0.197,0.126,0
"EIF4G3",0,-0.34561151041346,0.313,0.371,0
"TCEA3",0,0.33054200727954,0.17,0.095,0
"CD52",0,-0.86346518563598,0.08,0.187,0
"ATPIF1",0,0.537131449599321,0.288,0.184,0
"LAPTM5",0,-0.46661856000071,0.074,0.138,0
"SMAP2",0,-0.502659983030007,0.096,0.161,0
"SCMH1",0,-0.446908528847893,0.251,0.33,0
"HIVEP3",0,-0.412787348763891,0.111,0.164,0
"PRDX1",0,0.498123730731653,0.285,0.185,0
"AKR1A1",0,0.45108513334363,0.193,0.113,0
"CYP4A11",0,0.40567433572175,0.162,0.085,0
"PDZK1IP1",0,1.06362739720736,0.239,0.113,0
"SCP2",0,0.257085090042241,0.313,0.23,0
"ACOT11",0,0.382081830668966,0.176,0.113,0
"FGGY",0,0.523365395980727,0.305,0.248,0
"JAK1",0,-0.354154302105639,0.276,0.326,0
"AK4",0,0.696986752256635,0.273,0.136,0
"GADD45A",0,0.415923105728703,0.226,0.134,0
"PTGER3",0,0.501930546920103,0.324,0.2,0
"ACADM",0,0.386087330605562,0.237,0.144,0
"GIPC2",0,0.281540356399689,0.172,0.104,0
"PTBP2",0,-0.339040387002199,0.17,0.228,0
"DPYD",0,-0.493301968438393,0.217,0.271,0
"RNPC3",0,0.688739677702807,0.294,0.221,0
"GSTM3",0,0.276131315307093,0.105,0.051,0
"LAMTOR5",0,0.497059405591891,0.252,0.163,0
"CD53",0,-0.444413919870131,0.068,0.129,0
"RAP1A",0,-0.327993601368228,0.211,0.256,0
"CAPZA1",0,-0.334600612862701,0.149,0.2,0
"RP4-655J12.4",0,0.667499857103284,0.183,0.099,0
"HAO2",0,0.521447706032125,0.143,0.046,0
"NOTCH2",0,-0.314870780974865,0.084,0.128,0
"PDZK1",0,0.519957973280395,0.221,0.121,0
"CTSS",0,-0.421146217230336,0.071,0.126,0
"S100A4",0,-0.562800077866152,0.17,0.224,0
"RHBG",0,0.658819093339277,0.148,0.073,0
"IFI16",0,-0.396191096158581,0.112,0.17,0
"MPC2",0,0.331582480180962,0.184,0.105,0
"ATP1B1",0,0.618153574921772,0.552,0.355,0
"FMO1",0,0.33109802223477,0.11,0.053,0
"RFWD2",0,-0.305407115929843,0.237,0.294,0
"LAMC1",0,-0.414293865410436,0.101,0.158,0
"IVNS1ABP",0,0.3581122950672,0.301,0.231,0
"RGS2",0,-0.581283344809963,0.084,0.143,0
"PTPRC",0,-0.720206788837357,0.105,0.217,0
"ZC3H11A",0,0.29596923895484,0.28,0.222,0
"LPGAT1",0,-0.295302654987321,0.128,0.172,0
"ATF3",0,0.74253528040517,0.192,0.111,0
"ESRRG",0,0.635266566456384,0.513,0.431,0
"MARC2",0,0.367057908238332,0.2,0.12,0
"SUSD4",0,0.344752031229072,0.102,0.054,0
"AKT3",0,-0.423607088662381,0.29,0.352,0
"ADI1",0,0.638429184381817,0.229,0.12,0
"CYS1",0,0.283547904983225,0.19,0.119,0
"KHK",0,0.71786357487455,0.185,0.066,0
"PPP1CB",0,-0.357972890832258,0.237,0.283,0
"GALM",0,0.293579998488768,0.175,0.108,0
"SLC8A1",0,0.562994387654264,0.345,0.271,0
"EML4",0,-0.368287375919182,0.257,0.321,0
"ZFP36L2",0,-0.551180329931265,0.217,0.274,0
"SLC3A1",0,0.434821799035571,0.304,0.198,0
"BCYRN1",0,0.534979471753234,0.185,0.088,0
"PCYOX1",0,0.28810538175057,0.112,0.052,0
"ATP6V1B1",0,0.45748050438867,0.168,0.093,0
"NAT8",0,0.991211012621516,0.144,0.045,0
"SUCLG1",0,0.744313065370757,0.355,0.206,0
"DUSP2",0,-0.61023059429158,0.081,0.128,0
"AFF3",0,-0.841595945976079,0.048,0.116,0
"NPAS2",0,-0.351760600655137,0.115,0.163,0
"RNF149",0,-0.301891444385528,0.189,0.24,0
"MAP4K4",0,-0.634406724361171,0.139,0.23,0
"NCK2",0,-0.364555446078629,0.09,0.136,0
"SULT1C2",0,0.311954702553962,0.279,0.208,0
"RANBP2",0,0.462202173027061,0.259,0.194,0
"SH3RF3",0,-0.515840026178652,0.072,0.119,0
"MIR4435-1HG",0,-0.580051353364544,0.078,0.158,0
"ACTR3",0,-0.416155871070512,0.202,0.274,0
"DBI",0,0.271624065343726,0.26,0.182,0
"TMEM37",0,0.277855472198634,0.123,0.058,0
"CXCR4",0,-1.08173273719733,0.105,0.205,0
"HNMT",0,0.36119674708678,0.201,0.123,0
"ARHGAP15",0,-1.02543431490905,0.035,0.133,0
"GTDC1",0,-0.304051754171224,0.094,0.137,0
"ZEB2",0,-0.470453283460894,0.136,0.187,0
"TEX41",0,0.429295573116108,0.189,0.114,0
"CACNB4",0,0.35673533994517,0.147,0.098,0
"FMNL2",0,-0.596451446566448,0.238,0.308,0
"CYTIP",0,-0.406736232202449,0.079,0.132,0
"ITGB6",0,-1.20176850343853,0.069,0.203,0
"RBMS1",0,-0.480394208606541,0.271,0.344,0
"TANK",0,-0.440667980567437,0.136,0.201,0
"SCN2A",0,0.285239490912166,0.178,0.134,0
"STK39",0,-0.336143243000077,0.157,0.203,0
"LRP2",0,0.731767821953738,0.436,0.292,0
"MYO3B",0,0.262450261576956,0.144,0.103,0
"WIPF1",0,-0.347664381292753,0.136,0.192,0
"ATP5G3",0,0.354340597812334,0.248,0.158,0
"SESTD1",0,-0.367033829633802,0.142,0.194,0
"ZNF385B",0,0.37018031969217,0.17,0.113,0
"ITGAV",0,-0.382895902087246,0.197,0.249,0
