"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Gpx3",1,0,3.50632909053602,0.949,0.344,0,"Health","GPX3"
"Gpx3",3484,0,-2.88062079563994,0.376,0.661,0,"AKI","GPX3"
"Gpx3",5956,0,-3.00040221411354,0.197,0.596,0,"CKD","GPX3"
"Gpx3",4173,0,-1.66145477802741,0.385,0.571,0,"Recovery","GPX3"
"Acsm2",4256,7.09028971391467e-184,-0.93485155020954,0.169,0.271,1.64976861063366e-179,"Recovery","ACSM2A"
"Acsm2",2,0,3.00645493860379,0.624,0.073,0,"Health","ACSM2A"
"Acsm2",5950,0,-2.17320226008318,0.047,0.287,0,"CKD","ACSM2A"
"Acsm2",3483,0,-2.74256298053713,0.049,0.398,0,"AKI","ACSM2A"
"Slc34a1",4423,4.03316807691274e-96,-0.560955921354698,0.202,0.282,9.38437548136056e-92,"Recovery","SLC34A1"
"Slc34a1",5952,0,-2.26153941868202,0.059,0.302,0,"CKD","SLC34A1"
"Slc34a1",3,0,2.9310217271587,0.633,0.09,0,"Health","SLC34A1"
"Slc34a1",3485,0,-2.92511504893646,0.062,0.413,0,"AKI","SLC34A1"
"Spink1",4171,0,-1.46872613556212,0.179,0.33,0,"Recovery","SPINK1"
"Spink1",4,0,2.75024522453446,0.672,0.129,0,"Health","SPINK1"
"Spink1",5942,0,-1.84868869792181,0.074,0.344,0,"CKD","SPINK1"
"Spink1",3476,0,-2.10115540692242,0.129,0.433,0,"AKI","SPINK1"
"Dnase1",3475,0,-2.05537353363519,0.022,0.246,0,"AKI","DNASE1"
"Dnase1",5940,0,-1.78541708840614,0.007,0.177,0,"CKD","DNASE1"
"Dnase1",4196,5.58209690597277e-268,-1.24282842290565,0.064,0.17,1.29884230808174e-263,"Recovery","DNASE1"
"Dnase1",5,0,2.63828780646978,0.411,0.028,0,"Health","DNASE1"
"Egf",5951,0,-2.18223886091682,0.041,0.206,0,"CKD","EGF"
"Egf",4279,7.78953048499338e-166,-0.341852075457094,0.273,0.171,1.81246795324826e-161,"Recovery","EGF"
"Egf",3481,0,-2.39381291473113,0.097,0.245,0,"AKI","EGF"
"Egf",6,0,2.54039731513452,0.311,0.122,0,"Health","EGF"
"Slc27a2",3478,0,-2.17593610952448,0.048,0.3,0,"AKI","SLC27A2"
"Slc27a2",5930,0,-1.57904954072638,0.052,0.219,0,"CKD","SLC27A2"
"Slc27a2",7,0,2.49521582990679,0.456,0.069,0,"Health","SLC27A2"
"Slc27a2",4477,8.79325967523531e-81,-0.760548185714134,0.146,0.206,2.04601566123375e-76,"Recovery","SLC27A2"
"Lrp2",3470,0,-1.91373695864764,0.03,0.27,0,"AKI","LRP2"
"Lrp2",5898,0,-1.3027084272619,0.039,0.192,0,"CKD","LRP2"
"Lrp2",4295,1.48486548102357e-154,-0.943155491431653,0.104,0.183,3.45498500124564e-150,"Recovery","LRP2"
"Lrp2",8,0,2.3357051737407,0.424,0.046,0,"Health","LRP2"
"Miox",3480,0,-2.31871827224249,0.062,0.393,0,"AKI","MIOX"
"Miox",5944,0,-1.9031057989854,0.053,0.289,0,"CKD","MIOX"
"Miox",9,0,2.32041078102211,0.596,0.09,0,"Health","MIOX"
