"gene","X","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Gpx3",2651,0,-1.806270273,0.378,0.578,0,"IRI_short_1",-0.2,"GPX3"
"Gpx3",5250,0,-1.442942476,0.386,0.556,0,"IRI_long_3",-0.17,"GPX3"
"Gpx3",4367,0,-1.832114884,0.349,0.573,0,"IRI_long_1",-0.224,"GPX3"
"Gpx3",7384,0,-2.079720335,0.197,0.596,0,"IRI_long_14",-0.399,"GPX3"
"Gpx3",3542,0,-1.151632695,0.385,0.571,0,"IRI_short_14",-0.186,"GPX3"
"Gpx3",2784,0,-1.315705469,0.411,0.555,0,"IRI_short_3",-0.144,"GPX3"
"Gpx3",1,0,2.430402123,0.949,0.344,0,"Control",0.605,"GPX3"
"Acsm2",2649,0,-1.764334785,0.035,0.299,0,"IRI_short_1",-0.264,"ACSM2A"
"Acsm2",3600,5.36e-241,-0.647989716,0.169,0.271,1.25e-236,"IRI_short_14",-0.102,"ACSM2A"
"Acsm2",5247,0,-1.316786773,0.076,0.268,0,"IRI_long_3",-0.192,"ACSM2A"
"Acsm2",2782,0,-1.197713274,0.092,0.268,0,"IRI_short_3",-0.176,"ACSM2A"
"Acsm2",7378,0,-1.506349019,0.047,0.287,0,"IRI_long_14",-0.24,"ACSM2A"
"Acsm2",4365,0,-1.728387192,0.03,0.288,0,"IRI_long_1",-0.258,"ACSM2A"
"Acsm2",2,0,2.083915764,0.624,0.073,0,"Control",0.551,"ACSM2A"
"Slc34a1",2801,1.04e-265,-0.953828268,0.125,0.281,2.43e-261,"IRI_short_3",-0.156,"SLC34A1"
"Slc34a1",3786,3.26e-104,-0.388825015,0.202,0.282,7.59e-100,"IRI_short_14",-0.08,"SLC34A1"
"Slc34a1",2652,0,-2.068772725,0.044,0.314,0,"IRI_short_1",-0.27,"SLC34A1"
"Slc34a1",7380,0,-1.567579672,0.059,0.302,0,"IRI_long_14",-0.243,"SLC34A1"
"Slc34a1",3,0,2.031629446,0.633,0.09,0,"Control",0.543,"SLC34A1"
"Slc34a1",5248,0,-1.335638008,0.094,0.282,0,"IRI_long_3",-0.188,"SLC34A1"
"Slc34a1",4368,0,-2.07316351,0.037,0.304,0,"IRI_long_1",-0.267,"SLC34A1"
"Spink1",5242,0,-1.146349391,0.124,0.322,0,"IRI_long_3",-0.198,"SPINK1"
"Spink1",4,0,1.906324723,0.672,0.129,0,"Control",0.543,"SPINK1"
"Spink1",7370,0,-1.281413359,0.074,0.344,0,"IRI_long_14",-0.27,"SPINK1"
"Spink1",4357,0,-1.271834651,0.113,0.337,0,"IRI_long_1",-0.224,"SPINK1"
"Spink1",3540,0,-1.01804338,0.179,0.33,0,"IRI_short_14",-0.151,"SPINK1"
"Spink1",2781,0,-1.118838929,0.134,0.321,0,"IRI_short_3",-0.187,"SPINK1"
"Spink1",2635,0,-1.127783743,0.14,0.342,0,"IRI_short_1",-0.202,"SPINK1"
"Dnase1",5,0,1.828721755,0.411,0.028,0,"Control",0.383,"DNASE1"
"Dnase1",2638,0,-1.157362414,0.026,0.18,0,"IRI_short_1",-0.154,"DNASE1"
"Dnase1",3539,0,-0.861463017,0.064,0.17,0,"IRI_short_14",-0.106,"DNASE1"
"Dnase1",7368,0,-1.237556821,0.007,0.177,0,"IRI_long_14",-0.17,"DNASE1"
"Dnase1",4353,0,-1.187654209,0.015,0.175,0,"IRI_long_1",-0.16,"DNASE1"
"Dnase1",5239,0,-1.093877256,0.018,0.164,0,"IRI_long_3",-0.146,"DNASE1"
"Dnase1",2780,0,-1.064659381,0.031,0.164,0,"IRI_short_3",-0.133,"DNASE1"
"Egf",4364,0,-1.646363921,0.083,0.199,0,"IRI_long_1",-0.116,"EGF"
"Egf",6,0,1.760869236,0.311,0.122,0,"Control",0.189,"EGF"
"Egf",3574,3.42e-274,-0.236953802,0.273,0.171,7.97e-270,"IRI_short_14",0.102,"EGF"
"Egf",3453,2.9e-21,-0.43575979,0.19,0.185,6.76e-17,"IRI_short_3",0.005,"EGF"
"Egf",5251,0,-1.571651027,0.033,0.195,0,"IRI_long_3",-0.162,"EGF"
"Egf",2648,0,-1.682079646,0.096,0.202,0,"IRI_short_1",-0.106,"EGF"
"Egf",7379,0,-1.512612714,0.041,0.206,0,"IRI_long_14",-0.165,"EGF"
"Slc27a2",2816,2.63e-237,-0.947439008,0.08,0.206,6.11e-233,"IRI_short_3",-0.126,"SLC27A2"
"Slc27a2",5407,1.41e-237,-0.921486379,0.07,0.206,3.29e-233,"IRI_long_3",-0.136,"SLC27A2"
"Slc27a2",4358,0,-1.37840902,0.029,0.221,0,"IRI_long_1",-0.192,"SLC27A2"
"Slc27a2",3724,2.1e-132,-0.527171831,0.146,0.206,4.89e-128,"IRI_short_14",-0.06,"SLC27A2"
"Slc27a2",2643,0,-1.351898175,0.042,0.227,0,"IRI_short_1",-0.185,"SLC27A2"
"Slc27a2",7,0,1.729551817,0.456,0.069,0,"Control",0.387,"SLC27A2"
"Slc27a2",7358,0,-1.094513737,0.052,0.219,0,"IRI_long_14",-0.167,"SLC27A2"
"Lrp2",2868,2.46e-195,-0.747058202,0.064,0.18,5.73e-191,"IRI_short_3",-0.116,"LRP2"
"Lrp2",8,0,1.618987456,0.424,0.046,0,"Control",0.378,"LRP2"
"Lrp2",4352,0,-1.164743183,0.015,0.194,0,"IRI_long_1",-0.179,"LRP2"
"Lrp2",7325,0,-0.902968673,0.039,0.192,0,"IRI_long_14",-0.153,"LRP2"
"Lrp2",2639,0,-1.174238526,0.023,0.201,0,"IRI_short_1",-0.178,"LRP2"
"Lrp2",5324,1.21e-277,-0.908214219,0.043,0.181,2.82e-273,"IRI_long_3",-0.138,"LRP2"
"Lrp2",3564,3.54e-296,-0.65374557,0.104,0.183,8.24e-292,"IRI_short_14",-0.079,"LRP2"
"Miox",7372,0,-1.319132419,0.053,0.289,0,"IRI_long_14",-0.236,"MIOX"
"Miox",4366,0,-1.775837351,0.035,0.29,0,"IRI_long_1",-0.255,"MIOX"
"Miox",9,0,1.608386191,0.596,0.09,0,"Control",0.506,"MIOX"
"Miox",2909,5.27e-173,-0.477145062,0.131,0.267,1.23e-168,"IRI_short_3",-0.136,"MIOX"
"Miox",2650,0,-1.801595319,0.043,0.3,0,"IRI_short_1",-0.257,"MIOX"
"Miox",5321,1.64e-278,-0.838665638,0.098,0.269,3.81e-274,"IRI_long_3",-0.171,"MIOX"
"Ttc36",2845,3.29e-210,-0.737861184,0.175,0.28,7.66e-206,"IRI_short_3",-0.105,"TTC36"
"Ttc36",10,0,1.595494893,0.568,0.127,0,"Control",0.441,"TTC36"
"Ttc36",4361,0,-1.547426547,0.051,0.305,0,"IRI_long_1",-0.254,"TTC36"
"Ttc36",2645,0,-1.441904499,0.104,0.306,0,"IRI_short_1",-0.202,"TTC36"
"Ttc36",7354,0,-1.054669089,0.078,0.302,0,"IRI_long_14",-0.224,"TTC36"
"Ttc36",3909,1.14e-35,-0.21045036,0.25,0.277,2.65e-31,"IRI_short_14",-0.027,"TTC36"
"Ttc36",5304,2.61e-289,-0.912597234,0.11,0.284,6.08e-285,"IRI_long_3",-0.174,"TTC36"
"S100g",2861,1.56e-199,-0.991485216,0.509,0.609,3.63e-195,"IRI_short_3",-0.1,"S100G"
"S100g",5254,0,-2.844468627,0.111,0.635,0,"IRI_long_3",-0.524,"S100G"
"S100g",4632,1.27e-203,-1.268043276,0.569,0.608,2.96e-199,"IRI_long_1",-0.039,"S100G"
"S100g",2597,0,-0.670834065,0.768,0.572,0,"IRI_short_1",0.196,"S100G"
