"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"1",0,2.39846141665102,0.467,0.25,0,Health,EGF
"2",0,2.36156622370034,0.486,0.267,0,Health,SLC12A1
"3",0,2.12173376687407,0.457,0.196,0,Health,CUBN
"4",0,1.82109510619758,0.115,0.041,0,Health,SLC12A3
"5",0,1.4960386184352,0.841,0.712,0,Health,ESRRG
"6",0,1.49583501062331,0.711,0.482,0,Health,PLCL1
"7",0,1.37520372358548,0.378,0.153,0,Health,GPC5
"8",0,1.35944957454191,0.329,0.106,0,Health,BHMT
"9",0,1.29927426505794,0.462,0.206,0,Health,RALYL
"10",0,1.29755776353846,0.455,0.311,0,Health,UMOD
"11",0,1.29048397494762,0.432,0.265,0,Health,LRP2
"12",0,1.2797184465251,0.385,0.082,0,Health,PLPPR1
"13",0,1.25363379718803,0.463,0.218,0,Health,GPAT3
"14",0,1.21913607648369,0.395,0.266,0,Health,KCNJ15
"15",0,1.19268195899162,0.301,0.117,0,Health,SLC5A12
"16",0,1.19018562027971,0.381,0.239,0,Health,NOX4
"17",0,1.15726656922848,0.347,0.176,0,Health,ACSM2A
"18",0,1.13127829778453,0.2,0.061,0,Health,ZNF804B
"19",0,1.12011119234608,0.521,0.301,0,Health,ANK2
"20",0,1.07474254892995,0.584,0.319,0,Health,STPG2
"21",0,1.07023792965197,0.841,0.705,0,Health,PKHD1
"22",0,1.06399228713229,0.275,0.112,0,Health,SLC13A1
"23",0,1.06346057084367,0.581,0.334,0,Health,ADAMTS9-AS1
"24",0,1.06223294468275,0.154,0.036,0,Health,PCDH15
"25",0,1.06192174965064,0.815,0.621,0,Health,PRKN
"26",0,1.0556236587026,0.22,0.118,0,Health,AC096577.1
"27",0,1.04700210131766,0.21,0.018,0,Health,AC078980.1
"28",0,1.04181846213168,0.554,0.373,0,Health,FRMD4B
"29",0,1.03041007708879,0.483,0.267,0,Health,SUGCT
"30",0,1.02004758203078,0.302,0.116,0,Health,SLC16A9
"31",0,1.00911107495511,0.35,0.216,0,Health,PCDH9
"32",0,1.00403364468313,0.618,0.376,0,Health,FRAS1
"33",0,1.00321129662547,0.61,0.42,0,Health,RAB11FIP3
"34",0,0.99551075202337,0.339,0.195,0,Health,ACSM2B
"35",0,0.98637365706107,0.258,0.109,0,Health,CDH9
"36",0,0.98627418048001,0.333,0.145,0,Health,ACSF2
"37",0,0.984732540616861,0.548,0.198,0,Health,ARL17B
"38",0,0.98391676740562,0.463,0.362,0,Health,TRPM3
"39",0,0.97866854776715,0.774,0.524,0,Health,PBX1
"40",0,0.977805444810416,0.413,0.283,0,Health,PDZD2
"41",0,0.970840394272459,0.809,0.718,0,Health,PLEKHA5
"42",0,0.969487010288058,0.267,0.126,0,Health,SLC7A8
"43",0,0.967563391739384,0.637,0.435,0,Health,BICDL1
"44",0,0.95946087702378,0.464,0.148,0,Health,FREM1
"45",0,0.954835955553629,0.408,0.31,0,Health,SLC4A4
"46",0,0.953715820363556,0.746,0.473,0,Health,MIR99AHG
"47",0,0.951495868357813,0.78,0.622,0,Health,PTH2R
"48",0,0.948247917120236,0.439,0.196,0,Health,AC138123.1
"49",0,0.939217994729417,0.268,0.149,0,Health,ANKS1B
"50",0,0.924889660790194,0.36,0.229,0,Health,CASR
"51",0,0.91477224952477,0.234,0.119,0,Health,LINC00871
"52",0,0.907775021409683,0.655,0.457,0,Health,FHOD3
"53",0,0.907570006770973,0.666,0.403,0,Health,KIFC3
"54",0,0.903412514133249,0.566,0.354,0,Health,NTN4
"55",0,0.901380038474187,0.302,0.079,0,Health,NELL1
"56",0,0.892605758003788,0.328,0.073,0,Health,LINC00970
"57",0,0.883897850899368,0.765,0.596,0,Health,ATP1B1
"58",0,0.881733307633798,0.585,0.438,0,Health,HIP1
"59",0,0.875446159355981,0.212,0.083,0,Health,SLC36A2
"60",0,0.860682898340946,0.496,0.398,0,Health,MSRA
"61",0,0.857954202138254,0.294,0.101,0,Health,AC027288.3
"62",0,0.85678656106268,0.872,0.717,0,Health,RORA
"63",0,0.855671194106068,0.491,0.277,0,Health,CNNM2
"64",0,0.852752271760291,0.32,0.144,0,Health,RANBP3L
"65",0,0.839644208094506,0.47,0.252,0,Health,PDZRN3
"66",0,0.836042996703653,0.456,0.245,0,Health,PTH1R
"67",0,0.831106861045527,0.367,0.215,0,Health,ESRRB
"68",0,0.829319094145688,0.652,0.415,0,Health,SORBS2
"69",0,0.816566126149335,0.93,0.837,0,Health,PDE4D
"70",0,0.816322559535376,0.776,0.694,0,Health,CCSER1
"71",0,0.811698305938695,0.259,0.109,0,Health,AL391117.1
"72",0,0.809691130357695,0.517,0.249,0,Health,DMGDH
"73",0,0.8080847490415,0.305,0.183,0,Health,DPYS
"74",0,0.804107931888852,0.847,0.753,0,Health,GPHN
"75",0,0.802331834295575,0.771,0.702,0,Health,COBLL1
"76",0,0.7983877118002,0.312,0.209,0,Health,ENPEP
"77",0,0.796576186651212,0.731,0.6,0,Health,KANK1
"78",0,0.792269412888072,0.319,0.104,0,Health,GRAMD1B
"79",0,0.792097280651019,0.539,0.407,0,Health,TTTY14
"80",0,0.786434650318355,0.321,0.097,0,Health,NPR3
"81",0,0.786115441974744,0.327,0.143,0,Health,CACNB2
"82",0,0.776946916778112,0.705,0.565,0,Health,CGNL1
"83",0,0.774183992180041,0.601,0.464,0,Health,DLG2
"84",0,0.772516434704575,0.683,0.51,0,Health,PLXDC2
"85",0,0.769654957725066,0.298,0.179,0,Health,SLC28A1
"86",0,0.766015855000515,0.487,0.229,0,Health,DPH6-DT
