"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Rnf24",1,0,1.6492229894934,0.139,0.063,0,"Health","RNF24"
"Rnf24",798,0,-1.77947750649204,0.045,0.106,0,"AKI","RNF24"
"Nox4",1361,1.18337352363674e-202,-0.453229015841252,0.151,0.156,3.21084738168358e-198,"CKD","NOX4"
"Nox4",3,0,1.51875683418127,0.216,0.138,0,"Health","NOX4"
"Nox4",759,0,-0.979527373835252,0.127,0.176,0,"AKI","NOX4"
"Egf",804,0,-2.74066474353701,0.015,0.132,0,"AKI","EGF"
"Egf",4,0,1.49614237949568,0.151,0.062,0,"Health","EGF"
"Egf",1241,0,0.698249015420728,0.121,0.059,0,"CKD","EGF"
"Slc34a1",789,0,-1.42940216371532,0.159,0.282,0,"AKI","SLC34A1"
"Slc34a1",5,0,1.43608519829218,0.341,0.198,0,"Health","SLC34A1"
"Slc7a13",6,0,1.38205059690531,0.157,0.064,0,"Health","SLC7A13"
"Slc7a13",1349,9.05419115655192e-219,0.626496066173121,0.118,0.065,2.45667368650723e-214,"CKD","SLC7A13"
"Slc7a13",803,0,-2.31018246395455,0.021,0.133,0,"AKI","SLC7A13"
"Smarca2",793,0,-1.4765756752899,0.053,0.176,0,"AKI","SMARCA2"
"Smarca2",7,0,1.34965184966815,0.216,0.097,0,"Health","SMARCA2"
"Lrp2",8,0,1.26552847980276,0.371,0.267,0,"Health","LRP2"
"Lrp2",750,0,-0.940331869255204,0.24,0.327,0,"AKI","LRP2"
"Tnfaip8",783,0,-1.22292742984512,0.08,0.163,0,"AKI","TNFAIP8"
"Tnfaip8",9,0,1.24835326225928,0.189,0.11,0,"Health","TNFAIP8"
"Slc22a30",801,0,-1.97199201528008,0.051,0.211,0,"AKI","SLC22A9"
"Slc22a30",10,0,1.24622536178861,0.24,0.114,0,"Health","SLC22A9"
"Slc22a30",1250,0,0.582400970296395,0.194,0.112,0,"CKD","SLC22A9"
"Ranbp3l",11,0,1.20976894718935,0.136,0.055,0,"Health","RANBP3L"
"Ranbp3l",795,0,-1.58328722240822,0.029,0.106,0,"AKI","RANBP3L"
"Ass1",12,0,1.18733150596158,0.209,0.125,0,"Health","ASS1"
"Ass1",737,0,-0.866828196747635,0.106,0.172,0,"AKI","ASS1"
"Aacs",14,0,1.14209256445322,0.134,0.059,0,"Health","AACS"
"Ghr",791,0,-1.45228054025083,0.275,0.316,0,"AKI","GHR"
"Ghr",15,0,1.13237918092931,0.317,0.293,0,"Health","GHR"
"Ghr",1370,1.13563882487692e-193,0.359791863561624,0.316,0.289,3.08132882353856e-189,"CKD","GHR"
"Cdh18",16,0,1.08281284311286,0.268,0.145,0,"Health","CDH18"
"Cdh18",1275,0,-0.7561794409462,0.107,0.205,0,"CKD","CDH18"
"Cdh18",837,1.84789146475125e-283,-0.251947343146319,0.175,0.168,5.01388391130956e-279,"AKI","CDH18"
"Trps1",17,0,1.0827464615828,0.304,0.252,0,"Health","TRPS1"
"Trps1",787,0,-1.37496276557016,0.198,0.314,0,"AKI","TRPS1"
"Trps1",1327,3.80057509352771e-244,0.351070178854051,0.32,0.232,1.03121004012687e-239,"CKD","TRPS1"
"Hnrnpr",718,0,-0.754884484346934,0.118,0.149,0,"AKI","HNRNPR"
"Hnrnpr",18,0,1.0645775502157,0.173,0.125,0,"Health","HNRNPR"
"Sugct",790,0,-1.44008001231741,0.101,0.254,0,"AKI","SUGCT"
"Sugct",19,0,1.06060571254033,0.274,0.163,0,"Health","SUGCT"
