"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","HGNC.symbol"
"Rnf24",704,0,-1.77947750649204,0.045,0.106,0,"AKI","RNF24"
"Rnf24",1,0,1.6492229894934,0.139,0.063,0,"Health","RNF24"
"Nox4",1656,1.15941716379439e-06,-0.453229015841252,0.151,0.156,0.0314584659052331,"CKD","NOX4"
"Nox4",826,4.10431130533238e-167,-0.979527373835252,0.127,0.176,1.11362278647583e-162,"AKI","NOX4"
"Nox4",3,0,1.51875683418127,0.216,0.138,0,"Health","NOX4"
"Egf",1228,0,0.698249015420728,0.121,0.059,0,"CKD","EGF"
"Egf",709,0,-2.74066474353701,0.015,0.132,0,"AKI","EGF"
"Egf",4,0,1.49614237949568,0.151,0.062,0,"Health","EGF"
"Slc34a1",5,0,1.43608519829218,0.341,0.198,0,"Health","SLC34A1"
"Slc34a1",696,0,-1.42940216371532,0.159,0.282,0,"AKI","SLC34A1"
"Slc7a13",6,0,1.38205059690531,0.157,0.064,0,"Health","SLC7A13"
"Slc7a13",1281,2.96229862241434e-227,0.626496066173121,0.118,0.065,8.03760485219683e-223,"CKD","SLC7A13"
"Slc7a13",708,0,-2.31018246395455,0.021,0.133,0,"AKI","SLC7A13"
"Smarca2",699,0,-1.4765756752899,0.053,0.176,0,"AKI","SMARCA2"
"Smarca2",7,0,1.34965184966815,0.216,0.097,0,"Health","SMARCA2"
"Lrp2",666,0,-0.940331869255204,0.24,0.327,0,"AKI","LRP2"
"Lrp2",8,0,1.26552847980276,0.371,0.267,0,"Health","LRP2"
"Tnfaip8",9,0,1.24835326225928,0.189,0.11,0,"Health","TNFAIP8"
"Tnfaip8",691,0,-1.22292742984512,0.08,0.163,0,"AKI","TNFAIP8"
"Slc22a30",1234,0,0.582400970296395,0.194,0.112,0,"CKD","SLC22A9"
"Slc22a30",707,0,-1.97199201528008,0.051,0.211,0,"AKI","SLC22A9"
"Slc22a30",10,0,1.24622536178861,0.24,0.114,0,"Health","SLC22A9"
"Ranbp3l",11,0,1.20976894718935,0.136,0.055,0,"Health","RANBP3L"
"Ranbp3l",701,0,-1.58328722240822,0.029,0.106,0,"AKI","RANBP3L"
