"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"1",0,2.06188407769162,0.106,0.022,0,LD,KLK1,0.084
"2",0,2.05489016875055,0.261,0.12,0,LD,ALDOB,0.141
"3",0,1.88519660639367,0.532,0.084,0,LD,PDK4,0.448
"4",0,1.80057377298833,0.229,0.032,0,LD,GSTA2,0.197
"5",0,1.72328931082974,0.28,0.083,0,LD,GSTA1,0.197
"6",0,1.67047262337868,0.247,0.115,0,LD,MIOX,0.132
"7",0,1.65435991307145,0.446,0.052,0,LD,NR4A1,0.394
"8",0,1.63161338624573,0.268,0.15,0,LD,IGFBP5,0.118
"9",0,1.37453928741255,0.243,0.164,0,LD,UGT2B7,0.079
"10",0,1.36742518231844,0.195,0.047,0,LD,FABP1,0.148
"11",0,1.29972193514337,0.173,0.041,0,LD,ALB,0.132
"12",0,1.25055549254438,0.228,0.068,0,LD,HPD,0.16
"13",0,1.19236049670903,0.381,0.185,0,LD,TIMP3,0.196
"14",0,1.18172396497738,0.31,0.099,0,LD,PCK1,0.211
"15",0,1.15722183433959,0.23,0.117,0,LD,CALB1,0.113
"16",0,1.14195716002969,0.412,0.305,0,LD,APOE,0.107
"17",0,1.11288442661158,0.654,0.341,0,LD,CEBPD,0.313
"18",0,1.07923189808668,0.451,0.154,0,LD,EGR1,0.297
"19",0,1.06347220868391,0.226,0.096,0,LD,EPAS1,0.13
"20",0,1.05609466869145,0.542,0.258,0,LD,ADIRF,0.284
"21",0,1.05227668107658,0.289,0.063,0,LD,ATF3,0.226
"22",0,1.04816656120627,0.416,0.267,0,LD,IER3,0.149
"23",0,1.03960616259993,0.325,0.058,0,LD,FKBP5,0.267
"24",0,1.03440427565839,0.227,0.114,0,LD,MGP,0.113
"25",0,1.0156840434514,0.414,0.087,0,LD,KLF9,0.327
"26",0,0.993834579712284,0.388,0.133,0,LD,SGK1,0.255
"27",0,0.958336496500462,0.999,0.948,0,LD,MT-ND1,0.0510000000000001
"28",0,0.954633740834584,0.582,0.266,0,LD,ZFAND5,0.316
"29",0,0.943548790829977,0.563,0.559,0,LD,DEFB1,0.00399999999999989
"30",0,0.926722211386648,0.178,0.069,0,LD,PRODH2,0.109
"31",0,0.923448381668244,0.341,0.191,0,LD,TMEM52B,0.15
"32",0,0.894410213570462,0.18,0.098,0,LD,CUBN,0.082
"33",0,0.892008429779143,0.276,0.045,0,LD,ERRFI1,0.231
"34",0,0.88331359005835,0.153,0.035,0,LD,SLC22A8,0.118
"35",0,0.877677624887201,0.354,0.137,0,LD,SEPP1,0.217
"36",0,0.875935738673169,0.427,0.167,0,LD,BTG2,0.26
"37",0,0.868321910171702,0.152,0.049,0,LD,MME,0.103
"38",0,0.863577263425725,0.42,0.151,0,LD,GADD45A,0.269
"39",0,0.859837827022261,0.178,0.071,0,LD,PAH,0.107
"40",0,0.856001822760898,0.144,0.022,0,LD,FAM151A,0.122
"41",0,0.852099859950985,0.149,0.049,0,LD,RGCC,0.1
"42",0,0.844065027305469,0.241,0.096,0,LD,EGF,0.145
"43",0,0.843458081841412,0.255,0.164,0,LD,ASS1,0.091
"44",0,0.827600480735631,0.461,0.225,0,LD,ALDH6A1,0.236
"45",0,0.818887361870752,1,0.96,0,LD,MT-CYB,0.04
"46",0,0.814505499591068,0.421,0.171,0,LD,TSC22D3,0.25
"47",0,0.811400605566838,0.514,0.243,0,LD,KLF6,0.271
"48",0,0.791874995569445,0.437,0.224,0,LD,GADD45B,0.213
"49",0,0.787451094074612,0.178,0.09,0,LD,DPEP1,0.088
"50",0,0.786427782761796,0.247,0.095,0,LD,RHCG,0.152
"51",0,0.779608946985031,0.999,0.962,0,LD,MT-ND2,0.037
"52",0,0.769799274923412,0.528,0.258,0,LD,ZFP36,0.27
"53",0,0.756606712711166,0.996,0.937,0,LD,MT-ND3,0.0589999999999999
"54",0,0.733134683300659,0.52,0.354,0,LD,HSPA1A,0.166
"55",0,0.728499643239407,0.162,0.039,0,LD,PPAP2B,0.123
"56",0,0.728063225327232,0.321,0.134,0,LD,KL,0.187
"57",0,0.727190584321976,0.103,0.028,0,LD,FLT1,0.075
"58",0,0.72452134207777,0.321,0.143,0,LD,SERPINA5,0.178
"59",0,0.720841057209862,0.279,0.097,0,LD,ARG2,0.182
"60",0,0.716695785443999,0.283,0.056,0,LD,USP2,0.227
"61",0,0.690457280886158,0.781,0.635,0,LD,MT2A,0.146
"62",0,0.689816648911839,0.758,0.58,0,LD,CYB5A,0.178
"63",0,0.676804973307581,0.284,0.117,0,LD,G0S2,0.167
"64",0,0.66892978593566,0.315,0.107,0,LD,SLC7A8,0.208
"65",0,0.668289734348281,0.295,0.131,0,LD,RASD1,0.164
"66",0,0.662077563000089,0.473,0.308,0,LD,WNK1,0.165
"67",0,0.652594246008909,0.21,0.034,0,LD,TIPARP,0.176
"68",0,0.648256851144371,0.164,0.048,0,LD,HRSP12,0.116
"69",0,0.642748638331473,0.128,0.029,0,LD,SLC22A6,0.099
"70",0,0.642687835924431,0.178,0.057,0,LD,APOM,0.121
"71",0,0.622650074537009,0.367,0.216,0,LD,PEPD,0.151
"72",0,0.613261230158078,0.354,0.179,0,LD,SEC14L1,0.175
"73",0,0.60873959056779,0.384,0.127,0,LD,XIST,0.257
"74",0,0.606008334592373,0.299,0.041,0,LD,PER1,0.258
"75",0,0.60272420563935,0.356,0.167,0,LD,CMBL,0.189
"76",0,0.586130978808616,0.429,0.227,0,LD,GNB2L1,0.202
"77",0,0.584332855904567,0.105,0.014,0,LD,PLG,0.091
"78",0,0.574918681476435,0.506,0.27,0,LD,HIST1H4C,0.236
"79",0,0.574763293415131,0.535,0.35,0,LD,CA12,0.185
"80",0,0.554857220677319,0.274,0.148,0,LD,IGFBP4,0.126
"81",0,0.550111469267613,0.298,0.123,0,LD,SELM,0.175
"82",0,0.545331164005313,0.332,0.14,0,LD,SEPW1,0.192
"83",0,0.544956752821742,0.377,0.183,0,LD,ATPIF1,0.194
"84",0,0.543517760513368,0.581,0.384,0,LD,SUCLG1,0.197
"85",0,0.538205072820029,0.311,0.112,0,LD,SERTAD1,0.199
"86",0,0.5378057331495,0.358,0.169,0,LD,CSRP1,0.189
"87",0,0.533069772717077,0.288,0.146,0,LD,LIFR,0.142
"88",0,0.52901933987765,0.233,0.03,0,LD,CSRNP1,0.203
"89",0,0.526267508216071,0.305,0.115,0,LD,DHRS3,0.19
"90",0,0.525739769813227,0.463,0.214,0,LD,NFKBIA,0.249
"91",0,0.525535083892626,0.603,0.388,0,LD,ADI1,0.215
"92",0,0.521610527762033,0.765,0.61,0,LD,JUND,0.155
"93",0,0.516709477188031,0.588,0.391,0,LD,DCXR,0.197
"94",0,0.515537791406583,0.573,0.301,0,LD,DUSP1,0.272
"95",0,0.514836773420802,0.299,0.146,0,LD,FOSB,0.153
"96",0,0.514347054188867,0.386,0.201,0,LD,ATP5J,0.185
"97",0,0.513681418887032,1,0.956,0,LD,MT-CO3,0.044
"98",0,0.503312724185127,0.51,0.33,0,LD,CA2,0.18
"99",0,0.500819847257441,0.292,0.139,0,LD,RCAN1,0.153
"100",0,0.499814396340783,0.103,0.024,0,LD,SLC6A19,0.079
"101",0,0.499504964960712,0.31,0.109,0,LD,ATP6V1B1,0.201
"102",0,0.49428838427754,0.31,0.15,0,LD,TACC1,0.16
"103",0,0.49337740986186,0.608,0.419,0,LD,MT1X,0.189
"104",0,0.49013884240252,0.559,0.355,0,LD,HERPUD1,0.204
"105",0,0.481737213515954,0.409,0.223,0,LD,ATP5L,0.186
"106",0,0.48043005878295,0.724,0.548,0,LD,CYSTM1,0.176
"107",0,0.473887509051722,0.327,0.165,0,LD,DHRS4L2,0.162
"108",0,0.471824809025913,0.131,0.007,0,LD,7SK.2,0.124
"109",0,0.471700109149666,0.39,0.211,0,LD,USMG5,0.179
"110",0,0.469544606613086,0.279,0.115,0,LD,PVALB,0.164
"111",0,0.466204205377588,0.411,0.223,0,LD,ATP5I,0.188
"112",0,0.45824612033226,0.269,0.093,0,LD,RNF152,0.176
"113",0,0.439011592968818,0.289,0.125,0,LD,CREM,0.164
"114",0,0.438207278369273,0.153,0.052,0,LD,ADM,0.101
"115",0,0.436788608989257,0.162,0.023,0,LD,MAFF,0.139
"116",0,0.436536647775763,0.194,0.073,0,LD,C19orf77,0.121
"117",0,0.432125466899484,0.124,0.039,0,LD,SNCG,0.085
"118",0,0.430464198848632,0.117,0.036,0,LD,FAM24B,0.081
"119",0,0.429444818226222,0.304,0.114,0,LD,SHFM1,0.19
"120",0,0.425202047475192,0.314,0.138,0,LD,PTP4A1,0.176
"121",0,0.423088106107046,0.401,0.221,0,LD,ATP5D,0.18
"122",0,0.417948901961254,0.301,0.146,0,LD,BHLHE40,0.155
"123",0,0.41732309909018,0.286,0.111,0,LD,KLF10,0.175
"124",0,0.417129121982588,0.497,0.336,0,LD,C11orf54,0.161
"125",0,0.416716703769202,0.423,0.223,0,LD,TOB1,0.2
"126",0,0.414558444081752,0.368,0.199,0,LD,RHOBTB3,0.169
"127",0,0.414022002213937,0.147,0.053,0,LD,C8orf4,0.094
"128",0,0.413376093295241,0.387,0.214,0,LD,ATP5G3,0.173
"129",0,0.408547766260628,0.204,0.058,0,LD,CDKN1A,0.146
"130",0,0.405374285830677,0.314,0.133,0,LD,ALDH1L1,0.181
"131",0,0.404301912768318,0.352,0.17,0,LD,FBXO21,0.182
"132",0,0.403279331671293,0.459,0.255,0,LD,GABARAPL1,0.204
"133",0,0.403230307546407,1,0.975,0,LD,MT-CO2,0.025
"134",0,0.401361983664277,0.396,0.209,0,LD,TCEB2,0.187
"135",0,0.400842869187596,0.31,0.153,0,LD,DNAJB1,0.157
"136",0,0.400370829917741,0.24,0.073,0,LD,SELK,0.167
"137",0,0.399518386019682,0.142,0.047,0,LD,AZGP1,0.095
"138",0,0.399051796663889,0.815,0.66,0,LD,PEBP1,0.155
"139",0,0.396838476701306,0.365,0.177,0,LD,MCL1,0.188
"140",0,0.396250138678309,0.447,0.253,0,LD,COX7A1,0.194
"141",0,0.385545004437736,0.251,0.115,0,LD,NEDD9,0.136
"142",0,0.385176408427809,0.312,0.13,0,LD,MYEOV2,0.182
"143",0,0.384987018768376,0.57,0.393,0,LD,MPC1,0.177
"144",0,0.383265582575807,0.477,0.311,0,LD,GLRX,0.166
"145",0,0.381415068101149,0.17,0.058,0,LD,ETNK2,0.112
"146",0,0.380520692528677,0.163,0.059,0,LD,FAM107A,0.104
"147",0,0.378471487988354,0.233,0.103,0,LD,ETS2,0.13
