,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct

1,0,2.430402123,0.949,0.344,0,Control,Gpx3,0.605

2,0,2.083915764,0.624,0.073,0,Control,Acsm2,0.551

3,0,2.031629446,0.633,0.09,0,Control,Slc34a1,0.543

4,0,1.906324723,0.672,0.129,0,Control,Spink1,0.543

5,0,1.828721755,0.411,0.028,0,Control,Dnase1,0.383

6,0,1.760869236,0.311,0.122,0,Control,Egf,0.189

7,0,1.729551817,0.456,0.069,0,Control,Slc27a2,0.387

8,0,1.618987456,0.424,0.046,0,Control,Lrp2,0.378

9,0,1.608386191,0.596,0.09,0,Control,Miox,0.506

10,0,1.595494893,0.568,0.127,0,Control,Ttc36,0.441

11,0,1.578297615,0.748,0.531,0,Control,S100g,0.217

12,0,1.547531502,0.595,0.141,0,Control,Ass1,0.454

13,0,1.535738332,0.451,0.237,0,Control,mt-Atp8,0.214

14,0,1.518829676,0.399,0.04,0,Control,Fut9,0.359

15,0,1.505611055,0.656,0.131,0,Control,Aldob,0.525

16,0,1.485327837,0.525,0.105,0,Control,Tmem27,0.42

17,0,1.404319469,0.384,0.064,0,Control,Cela1,0.32

18,0,1.379595572,0.819,0.342,0,Control,Kap,0.477

19,0,1.37726894,0.404,0.122,0,Control,Gatm,0.282

20,0,1.36442415,0.406,0.128,0,Control,Maf,0.278

21,0,1.355584494,0.12,0.035,0,Control,Atp6v1g3,0.085

22,0,1.35533012,0.439,0.133,0,Control,Kl,0.306

23,0,1.351782366,0.341,0.033,0,Control,AI314278,0.308

24,0,1.337191388,0.403,0.101,0,Control,Cyp4b1,0.302

25,0,1.333002549,0.375,0.068,0,Control,Acy3,0.307

26,0,1.322813643,0.394,0.071,0,Control,Slc4a4,0.323

27,0,1.322451853,0.777,0.507,0,Control,Atp5k,0.27

28,0,1.317012733,0.608,0.27,0,Control,Chpt1,0.338

