"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"1",0,1.6492229894934,0.139,0.063,0,Control,Rnf24,0.076
"2",0,1.62013009584556,0.242,0.15,0,Control,Keg1,0.092
"3",0,1.51875683418127,0.216,0.138,0,Control,Nox4,0.078
"4",0,1.49614237949568,0.151,0.062,0,Control,Egf,0.089
"5",0,1.43608519829218,0.341,0.198,0,Control,Slc34a1,0.143
"6",0,1.38205059690531,0.157,0.064,0,Control,Slc7a13,0.093
"7",0,1.34965184966815,0.216,0.097,0,Control,Smarca2,0.119
"8",0,1.26552847980276,0.371,0.267,0,Control,Lrp2,0.104
"9",0,1.24835326225928,0.189,0.11,0,Control,Tnfaip8,0.079
"10",0,1.24622536178861,0.24,0.114,0,Control,Slc22a30,0.126
"11",0,1.20976894718935,0.136,0.055,0,Control,Ranbp3l,0.081
"12",0,1.18733150596158,0.209,0.125,0,Control,Ass1,0.084
"13",0,1.1479557076497,0.129,0.037,0,Control,Gm29012,0.092
"14",0,1.14209256445322,0.134,0.059,0,Control,Aacs,0.075
"15",0,1.13237918092931,0.317,0.293,0,Control,Ghr,0.024
"16",0,1.08281284311286,0.268,0.145,0,Control,Cdh18,0.123
"17",0,1.0827464615828,0.304,0.252,0,Control,Trps1,0.052
"18",0,1.0645775502157,0.173,0.125,0,Control,Hnrnpr,0.048
"19",0,1.06060571254033,0.274,0.163,0,Control,Sugct,0.111
"20",0,1.03158209455609,0.211,0.112,0,Control,Slc6a20b,0.099
"21",0,1.02615339604991,0.298,0.203,0,Control,Fggy,0.095
"22",0,0.986091400315781,0.18,0.1,0,Control,Ces1f,0.08
"23",0,0.944170146708863,0.189,0.103,0,Control,Pecr,0.086
"24",0,0.922657163779061,0.211,0.144,0,Control,Enpp2,0.067
"25",0,0.918630155178603,0.194,0.122,0,Control,Slc5a12,0.072
"26",0,0.909908515826142,0.254,0.15,0,Control,Gm42397,0.104
"27",0,0.89680699529578,0.218,0.138,0,Control,Hsd17b11,0.08
"28",0,0.894485575961746,0.367,0.266,0,Control,Snx29,0.101
"29",0,0.892835663490633,0.32,0.23,0,Control,Fut9,0.09
"30",0,0.891570134111835,0.214,0.117,0,Control,Pdzrn3,0.097
"31",0,0.884141910001212,0.314,0.201,0,Control,P3h2,0.113
"32",0,0.872165795558357,0.11,0.041,0,Control,Ak4,0.069
"33",0,0.855817473923136,0.12,0.05,0,Control,Ppm1k,0.07
"34",0,0.85295980576963,0.186,0.102,0,Control,Hykk,0.084
"35",0,0.845128105672624,0.265,0.178,0,Control,Cpeb3,0.087
"36",0,0.844471406227644,0.121,0.061,0,Control,Ctnna2,0.06
"37",0,0.837435932487138,0.292,0.222,0,Control,Thrb,0.07
"38",0,0.836407963855335,0.306,0.242,0,Control,Chpt1,0.064
"39",0,0.836077220142659,0.212,0.137,0,Control,Cryl1,0.075
"40",0,0.835274847235765,0.177,0.096,0,Control,C330002G04Rik,0.081
"41",0,0.833135408986871,0.139,0.067,0,Control,Rgl1,0.072
"42",0,0.828369509015128,0.226,0.14,0,Control,Pdzd2,0.086
"43",0,0.823429923104423,0.165,0.125,0,Control,Jarid2,0.04
"44",0,0.820378869260058,0.2,0.119,0,Control,Mtus1,0.081
"45",0,0.818406071043211,0.15,0.107,0,Control,Snhg11,0.043
"46",0,0.796734643181317,0.134,0.064,0,Control,Pank1,0.07
"47",0,0.784510324964183,0.151,0.089,0,Control,Slc22a28,0.062
"48",0,0.780491709275416,0.164,0.105,0,Control,Phyhipl,0.059
"49",0,0.775434803363617,0.155,0.109,0,Control,Wdr17,0.046
"50",0,0.774502385067901,0.279,0.2,0,Control,Fnip2,0.079
"51",0,0.773259817612025,0.284,0.236,0,Control,Ptprd,0.048
"52",0,0.76746539479934,0.121,0.081,0,Control,Tfdp2,0.04
"53",0,0.748775179427404,0.12,0.049,0,Control,Vmn1r18,0.071
"54",0,0.745802339890647,0.12,0.051,0,Control,Hnf4aos,0.069
"55",0,0.74257731971661,0.135,0.081,0,Control,Nnt,0.054
"56",0,0.737461631864497,0.147,0.09,0,Control,Hnf1aos1,0.057
"57",0,0.72089123910354,0.293,0.217,0,Control,Slc25a21,0.076
"58",0,0.714546823212615,0.165,0.1,0,Control,Pik3c2g,0.065
"59",0,0.706240181439595,0.183,0.108,0,Control,Cubn,0.075
"60",0,0.705257407488448,0.114,0.072,0,Control,Alas1,0.042
"61",0,0.7035703163882,0.135,0.071,0,Control,Hgd,0.064
"62",0,0.689845800099005,0.124,0.068,0,Control,Adtrp,0.056
"63",0,0.689352112599496,0.487,0.51,0,Control,Zbtb20,-0.023
"64",0,0.688223552250314,0.104,0.079,0,Control,Slc27a2,0.025
"65",0,0.686970321226182,0.141,0.087,0,Control,Camta1,0.054
"66",0,0.682318350061045,0.197,0.17,0,Control,Agps,0.027
"67",0,0.678745476653949,0.267,0.188,0,Control,Acsm1,0.079
"68",0,0.678435985733628,0.186,0.228,0,Control,Wnk1,-0.042
"69",0,0.676050261793446,0.274,0.198,0,Control,Nfyc,0.076
"70",0,0.672496337603591,0.204,0.142,0,Control,Zfp697,0.062
"71",0,0.671411675786913,0.171,0.125,0,Control,Gk,0.046
"72",0,0.66822416329772,0.21,0.208,0,Control,Pbx1,0.002
"73",0,0.664779028688623,0.191,0.122,0,Control,B3gat2,0.069
"74",0,0.659713492163869,0.155,0.099,0,Control,Slc12a6,0.056
"75",0,0.65888934738387,0.111,0.058,0,Control,Dhtkd1,0.053
"76",0,0.653987464708208,0.296,0.252,0,Control,Ppargc1a,0.044
"77",0,0.652546476208733,0.108,0.052,0,Control,Hlf,0.056
"78",0,0.647311889682227,0.195,0.155,0,Control,Dnm3,0.04
"79",0,0.647228483234569,0.155,0.096,0,Control,Agbl4,0.059
"80",0,0.639145195933332,0.235,0.183,0,Control,Apbb2,0.052
"81",0,0.615071355151306,0.18,0.121,0,Control,Ankib1,0.059
"82",0,0.60923073871608,0.195,0.151,0,Control,Slco1a6,0.044
"83",0,0.608538709135451,0.158,0.106,0,Control,Lactb2,0.052
"84",0,0.605375790637382,0.205,0.167,0,Control,Osbpl8,0.038
"85",0,0.60343460942004,0.214,0.172,0,Control,Rab11fip3,0.042
"86",0,0.601870268947278,0.202,0.139,0,Control,Erc2,0.063
"87",0,0.59425943952647,0.27,0.22,0,Control,Mtss1,0.05
"88",0,0.593741310392583,0.415,0.363,0,Control,Fhit,0.052
"89",0,0.591919863938484,0.294,0.249,0,Control,Col4a3,0.045
"90",0,0.587834405068062,0.2,0.144,0,Control,Macrod2,0.056
"91",0,0.576776610248315,0.281,0.233,0,Control,Plxdc2,0.048
"92",0,0.574922119665548,0.161,0.163,0,Control,Slc12a1,-0.002
"93",0,0.567073987657459,0.117,0.076,0,Control,Stxbp5l,0.041
"94",0,0.557231036260272,0.313,0.284,0,Control,Arhgap42,0.029
"95",0,0.548394704571231,0.145,0.118,0,Control,Acsm2,0.027
