"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Ftl1-ps1",1,0,1.92596196956287,0.93,0.118,0,"UUO",0.812,"FTL"
"Guca2b",2,0,0.745828401156475,0.766,0.43,0,"UUO",0.336,"GUCA2B"
"Rpl36al",3,0,0.729102795773434,0.79,0.356,0,"UUO",0.434,"RPL36A"
"Ly6e",4,0,0.688640326548972,0.619,0.211,0,"UUO",0.408,"LY6E"
"Tmsb4x",5,0,0.683084397525767,0.536,0.227,0,"UUO",0.309,"TMSB4Y"
"B2m",6,0,0.645755165251468,0.684,0.33,0,"UUO",0.354,"B2M"
"Rpl29",8,0,0.597713723333333,0.86,0.487,0,"UUO",0.373,"RPL29"
"Cndp2",9,0,0.561875870753939,0.642,0.329,0,"UUO",0.313,"CNDP2"
"Cd52",10,0,0.552874369127025,0.246,0.055,0,"UUO",0.191,"CD52"
"Slc7a13",11,0,0.53639480882115,0.452,0.159,0,"UUO",0.293,"SLC7A13"
"Defb29",12,0,0.535498825896598,0.534,0.257,0,"UUO",0.277,"DEFB116"
"Atp11a",13,0,0.529769601935854,0.474,0.201,0,"UUO",0.273,"ATP11A"
"Rpl27a",15,0,0.502804114923291,0.964,0.709,0,"UUO",0.255,"RPL27A"
"Rpl27",18,0,0.484587587980376,0.865,0.588,0,"UUO",0.277,"RPL27"
"Hao2",19,0,0.481534168193573,0.527,0.262,0,"UUO",0.265,"HAO2"
"Lgals1",20,0,0.475199439176117,0.391,0.152,0,"UUO",0.239,"LGALS1"
"S100a10",21,0,0.469555155904398,0.475,0.219,0,"UUO",0.256,"S100A10"
"Rac2",22,0,0.465275924191809,0.216,0.043,0,"UUO",0.173,"RAC2"
"Ccdc6",23,0,0.457948096945712,0.365,0.127,0,"UUO",0.238,"CCDC6"
"Ghr",27,0,0.439271450306396,0.534,0.308,0,"UUO",0.226,"GHR"
"Ost4",28,0,0.428032025389967,0.695,0.426,0,"UUO",0.269,"OST4"
