"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"1",0,2.59392947188759,0.467,0.25,0,Control,EGF,0.217
"2",0,2.5117209409466,0.457,0.196,0,Control,CUBN,0.261
"3",0,2.42334022352754,0.486,0.267,0,Control,SLC12A1,0.219
"4",0,2.39562912053263,0.115,0.041,0,Control,SLC12A3,0.074
"5",0,1.75775912691225,0.378,0.153,0,Control,GPC5,0.225
"6",0,1.73232863708273,0.329,0.106,0,Control,BHMT,0.223
"7",0,1.62185894673363,0.21,0.018,0,Control,AC078980.1,0.192
"8",0,1.55008213619053,0.347,0.176,0,Control,ACSM2A,0.171
"9",0,1.52615595916951,0.385,0.082,0,Control,PLPPR1,0.303
"10",0,1.50375457225475,0.432,0.265,0,Control,LRP2,0.167
"11",0,1.47559674301189,0.463,0.218,0,Control,GPAT3,0.245
"12",0,1.47324374000303,0.302,0.116,0,Control,SLC16A9,0.186
"13",0,1.4463984065776,0.2,0.061,0,Control,ZNF804B,0.139
"14",0,1.40453833502434,0.462,0.206,0,Control,RALYL,0.256
"15",0,1.40257732602244,0.301,0.117,0,Control,SLC5A12,0.184
"16",0,1.37220490018605,0.711,0.482,0,Control,PLCL1,0.229
"17",0,1.35918116152387,0.841,0.712,0,Control,ESRRG,0.129
"18",0,1.35242224517252,0.154,0.036,0,Control,PCDH15,0.118
"19",0,1.34796876374494,0.328,0.073,0,Control,LINC00970,0.255
"20",0,1.33345391026082,0.333,0.145,0,Control,ACSF2,0.188
"21",0,1.29210366280312,0.302,0.079,0,Control,NELL1,0.223
"22",0,1.25658739379721,0.395,0.266,0,Control,KCNJ15,0.129
"23",0,1.25647524678052,0.439,0.196,0,Control,AC138123.1,0.243
"24",0,1.2309855038233,0.584,0.319,0,Control,STPG2,0.265
"25",0,1.21783163757625,0.128,0.024,0,Control,RNF212B,0.104
"26",0,1.21765912460731,0.483,0.267,0,Control,SUGCT,0.216
"27",0,1.21710736297463,0.339,0.195,0,Control,ACSM2B,0.144
"28",0,1.21630451160821,0.268,0.149,0,Control,ANKS1B,0.119
"29",0,1.21476311502511,0.61,0.42,0,Control,RAB11FIP3,0.19
"30",0,1.20936638811231,0.22,0.118,0,Control,AC096577.1,0.102
"31",0,1.20564404626523,0.381,0.239,0,Control,NOX4,0.142
"32",0,1.19938544638544,0.258,0.109,0,Control,CDH9,0.149
"33",0,1.19180915137055,0.413,0.283,0,Control,PDZD2,0.13
"34",0,1.19026515772859,0.464,0.148,0,Control,FREM1,0.316
"35",0,1.18946066535913,0.267,0.126,0,Control,SLC7A8,0.141
"36",0,1.18448708672143,0.293,0.067,0,Control,LINC00671,0.226
"37",0,1.17431782968164,0.275,0.112,0,Control,SLC13A1,0.163
"38",0,1.16270814333686,0.548,0.198,0,Control,ARL17B,0.35
"39",0,1.1607427623852,0.456,0.245,0,Control,PTH1R,0.211
"40",0,1.15304345693482,0.521,0.301,0,Control,ANK2,0.22
"41",0,1.14592244656395,0.581,0.334,0,Control,ADAMTS9-AS1,0.247
"42",0,1.12878730379407,0.294,0.101,0,Control,AC027288.3,0.193
"43",0,1.12721962648343,0.618,0.376,0,Control,FRAS1,0.242
"44",0,1.1184529659316,0.255,0.083,0,Control,MIOX,0.172
"45",0,1.11147964366046,0.212,0.083,0,Control,SLC36A2,0.129
"46",0,1.09598399207849,0.35,0.216,0,Control,PCDH9,0.134
"47",0,1.07859502325761,0.129,0.01,0,Control,AC092078.2,0.119
