"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
"1",0,1.92596196956287,0.93,0.118,0,UUO,Ftl1-ps1,0.812
"2",0,0.745828401156475,0.766,0.43,0,UUO,Guca2b,0.336
"3",0,0.729102795773434,0.79,0.356,0,UUO,Rpl36al,0.434
"4",0,0.688640326548972,0.619,0.211,0,UUO,Ly6e,0.408
"5",0,0.683084397525767,0.536,0.227,0,UUO,Tmsb4x,0.309
"6",0,0.645755165251468,0.684,0.33,0,UUO,B2m,0.354
"7",0,0.612493134108612,0.326,0.119,0,UUO,Tmsb10,0.207
"8",0,0.597713723333333,0.86,0.487,0,UUO,Rpl29,0.373
"9",0,0.561875870753939,0.642,0.329,0,UUO,Cndp2,0.313
"10",0,0.552874369127025,0.246,0.055,0,UUO,Cd52,0.191
"11",0,0.53639480882115,0.452,0.159,0,UUO,Slc7a13,0.293
"12",0,0.535498825896598,0.534,0.257,0,UUO,Defb29,0.277
"13",0,0.529769601935854,0.474,0.201,0,UUO,Atp11a,0.273
"14",0,0.517852641350852,0.188,0.022,0,UUO,Ccl5,0.166
"15",0,0.502804114923291,0.964,0.709,0,UUO,Rpl27a,0.255
"16",0,0.49923486866832,0.376,0.115,0,UUO,Gm47283,0.261
"17",0,0.486502371513276,0.325,0.109,0,UUO,Gm45792,0.216
"18",0,0.484587587980376,0.865,0.588,0,UUO,Rpl27,0.277
"19",0,0.481534168193573,0.527,0.262,0,UUO,Hao2,0.265
"20",0,0.475199439176117,0.391,0.152,0,UUO,Lgals1,0.239
"21",0,0.469555155904398,0.475,0.219,0,UUO,S100a10,0.256
"22",0,0.465275924191809,0.216,0.043,0,UUO,Rac2,0.173
"23",0,0.457948096945712,0.365,0.127,0,UUO,Ccdc6,0.238
"24",0,0.453166331448357,0.554,0.297,0,UUO,Gm19950,0.257
"25",0,0.449152709693223,0.533,0.259,0,UUO,Sumo2,0.274
"26",0,0.441481457493328,0.695,0.423,0,UUO,Rpl13a,0.272
"27",0,0.439271450306396,0.534,0.308,0,UUO,Ghr,0.226
"28",0,0.428032025389967,0.695,0.426,0,UUO,Ost4,0.269
"29",0,0.424554365148945,0.707,0.437,0,UUO,Mpc1,0.27
"30",0,0.423797702936117,0.298,0.072,0,UUO,Rps27rt,0.226
"31",0,0.423159786930466,0.323,0.11,0,UUO,Nat8f6,0.213
"32",0,0.420977620780497,0.957,0.748,0,UUO,Rps18,0.209
"33",0,0.41458628389484,0.199,0.044,0,UUO,Coro1a,0.155
"34",0,0.413270567044106,0.625,0.381,0,UUO,Acy3,0.244
"35",0,0.40139871550118,0.572,0.341,0,UUO,Slc22a12,0.231
"36",0,0.39666355891859,0.421,0.189,0,UUO,Ldhd,0.232
"37",0,0.396197379908782,0.802,0.563,0,UUO,Rpl12,0.239
"38",0,0.393826512105154,0.346,0.127,0,UUO,Slc6a18,0.219
"39",0,0.393779936749888,0.849,0.631,0,UUO,Rpl18,0.218
"40",0,0.389899831580733,0.363,0.183,0,UUO,Slc22a30,0.18
"41",0,0.38602406002445,0.907,0.698,0,UUO,Rps6,0.209
"42",0,0.38462933438342,0.842,0.613,0,UUO,Rpl4,0.229
"43",0,0.384164631148239,0.158,0.027,0,UUO,Trbc2,0.131
"44",0,0.381227008983671,0.209,0.04,0,UUO,Cd74,0.169
"45",0,0.37917543188885,0.192,0.046,0,UUO,Arhgdib,0.146
"46",0,0.377225421995053,0.97,0.801,0,UUO,Rps2,0.169
"47",0,0.372923515841119,0.964,0.796,0,UUO,Rpl17,0.168
"48",0,0.371177352205086,0.729,0.522,0,UUO,Pfn1,0.207
"49",0,0.368943508641709,0.596,0.355,0,UUO,Dynll1,0.241
"50",0,0.367432538989594,0.354,0.206,0,UUO,H2-D1,0.148
"51",0,0.367282327660736,0.165,0.033,0,UUO,AW112010,0.132
"52",0,0.367156622412795,0.888,0.701,0,UUO,Rps7,0.187
"53",0,0.364964972838263,0.373,0.165,0,UUO,Mpv17l,0.208
"54",0,0.361893997959721,0.392,0.21,0,UUO,Slc13a1,0.182
"55",0,0.361782882312824,0.583,0.357,0,UUO,Pabpc1,0.226
"56",0,0.360561902141768,0.906,0.695,0,UUO,Rps12,0.211
"57",0,0.359469719454851,0.652,0.422,0,UUO,Eef1b2,0.23
"58",0,0.358887415652865,0.143,0.017,0,UUO,Ms4a4b,0.126
"59",0,0.358357166411317,0.867,0.65,0,UUO,Rpl30,0.217
"60",0,0.35761641195383,0.216,0.032,0,UUO,Igkc,0.184
"61",0,0.357598582648,0.159,0.02,0,UUO,Lyz2,0.139
"62",0,0.352787664251745,0.457,0.238,0,UUO,Napsa,0.219
"63",0,0.351892120134201,0.66,0.448,0,UUO,Actg1,0.212
"64",0,0.350648713904564,0.697,0.49,0,UUO,Dnajc19,0.207
"65",0,0.347194877227491,0.55,0.352,0,UUO,Odc1,0.198
"66",0,0.345184735163293,0.909,0.722,0,UUO,Rps10,0.187
"67",0,0.344587601252464,0.98,0.853,0,UUO,Rps19,0.127
"68",0,0.344542244629253,0.205,0.026,0,UUO,Map3k7cl,0.179
"69",0,0.343928819220265,0.554,0.343,0,UUO,Cda,0.211
"70",0,0.343549830793548,0.143,0.023,0,UUO,Cd3g,0.12
"71",0,0.3389320291773,0.317,0.129,0,UUO,Them7,0.188
"72",0,0.338319758902847,0.942,0.737,0,UUO,Serf2,0.205
"73",0,0.336512606042194,0.66,0.442,0,UUO,Eef1g,0.218
