"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Rnf24",1,0,1.6492229894934,0.139,0.063,0,"Control",0.076,"RNF24"
"Nox4",886,5.84175807243006e-149,-0.99295337035123,0.098,0.162,1.58504421779245e-144,"4hours",-0.064,"NOX4"
"Nox4",2383,2.56926899053067e-286,-0.765475921484474,0.139,0.157,6.97119755200686e-282,"14days",-0.018,"NOX4"
"Nox4",1369,0,-1.39295928043179,0.078,0.169,0,"12hours",-0.091,"NOX4"
"Nox4",3,0,1.51875683418127,0.216,0.138,0,"Control",0.078,"NOX4"
"Egf",2807,2.20632605998701e-278,0.942450463733747,0.142,0.067,5.98642449856275e-274,"6weeks",0.075,"EGF"
"Egf",4,0,1.49614237949568,0.151,0.062,0,"Control",0.089,"EGF"
"Slc34a1",1956,0,0.402873718222628,0.357,0.203,0,"2days",0.154,"SLC34A1"
"Slc34a1",2432,2.06787004106708e-164,-0.46591381017019,0.224,0.229,5.61075178242731e-160,"14days",-0.005,"SLC34A1"
"Slc34a1",2896,1.27259091627143e-135,0.396635376728705,0.267,0.219,3.45292093311928e-131,"6weeks",0.048,"SLC34A1"
"Slc34a1",5,0,1.43608519829218,0.341,0.198,0,"Control",0.143,"SLC34A1"
"Slc34a1",1413,0,-5.24497530023342,0.014,0.269,0,"12hours",-0.255,"SLC34A1"
"Slc34a1",729,0,-3.09832937874092,0.08,0.247,0,"4hours",-0.167,"SLC34A1"
"Slc7a13",6,0,1.38205059690531,0.157,0.064,0,"Control",0.093,"SLC7A13"
"Slc7a13",2765,0,1.0896540912883,0.153,0.068,0,"6weeks",0.085,"SLC7A13"
"Smarca2",1370,0,-1.40993708748535,0.029,0.14,0,"12hours",-0.111,"SMARCA2"
"Smarca2",7,0,1.34965184966815,0.216,0.097,0,"Control",0.119,"SMARCA2"
"Smarca2",2526,5.54325058565829e-92,-0.228597261501625,0.123,0.122,1.50405018140666e-87,"14days",0.001,"SMARCA2"
"Smarca2",1988,0,-0.981581147103351,0.073,0.131,0,"2days",-0.058,"SMARCA2"
"Smarca2",813,1.10919939776308e-212,-0.960994906589361,0.057,0.13,3.00959072595056e-208,"4hours",-0.073,"SMARCA2"
"Smarca2",2863,1.59432682502152e-176,0.406215045570647,0.177,0.109,4.3258869743309e-172,"6weeks",0.068,"SMARCA2"
"Lrp2",798,4.37795204817056e-225,-0.848925839471761,0.214,0.298,1.18786972923012e-220,"4hours",-0.084,"LRP2"
"Lrp2",1406,0,-2.27570524271427,0.123,0.321,0,"12hours",-0.198,"LRP2"
"Lrp2",8,0,1.26552847980276,0.371,0.267,0,"Control",0.104,"LRP2"
"Lrp2",2095,9.65008452978142e-230,0.213591254632004,0.373,0.272,2.61835743546559e-225,"2days",0.101,"LRP2"
"Lrp2",2431,4.35861389237832e-166,-0.392513823654286,0.288,0.289,1.18262270741901e-161,"14days",-0.001,"LRP2"
"Tnfaip8",1395,0,-1.77547040656669,0.03,0.145,0,"12hours",-0.115,"TNFAIP8"
"Tnfaip8",9,0,1.24835326225928,0.189,0.11,0,"Control",0.079,"TNFAIP8"
"Tnfaip8",715,0,-1.50586487972126,0.044,0.137,0,"4hours",-0.093,"TNFAIP8"
